"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CPGI","China Shengda Packaging Group, Inc.","0.93","36075454.23","n/a","2010","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cpgi",
"CTFO","China TransInfo Technology Corp.","5.62","142017787.78","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctfo",
"CXDC","China XD Plastics Company Limited","4.38","208285521.36","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","4.75","68066507.25","14329791","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CEDU","ChinaEdu Corporation","5.85","95978019.15","16406499","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cedu",
"CNET","ChinaNet Online Holdings, Inc.","0.53","11758866.2","n/a","1996","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"CHYR","Chyron Corporation","1.09","18545105.22","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/chyr",
"CIDM","Cinedigm Digital Cinema Corp","1.38","66686710.14","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cidm",
"CZWI","Citizens Community Bancorp, Inc.","5.88","30197034","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","8.09","15927405.93","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","19.33","93971074.63","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cizn",
"CSBC","Citizens South Banking Corporation","7.08","81464773.92","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/csbc",
"CLFD","Clearfield, Inc.","5.24","65294827.8","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clfd",
"COBR","Cobra Electronics Corporation","4.966","32828140.28","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cobr",
"CVLY","Codorus Valley Bancorp, Inc","15.03","63634720.41","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CCIX","Coleman Cable, Inc.","9.55","169906447.05","n/a","1993","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccix",
"CLCT","Collectors Universe, Inc.","14.41","116816927.37","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"COBK","Colonial Financial Services, Inc.","12.9","51492078.6","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cobk",
"CBAN","Colony Bankcorp, Inc.","3.9","32913106.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cban",
"CBRX","Columbia Laboratories, Inc.","0.98","85757186.34","n/a","1988","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbrx",
"JCS","Communications Systems, Inc.","11.75","100126896.5","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcs",
"CWBC","Community West Bancshares","2.89","17309683.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cwbc",
"GNOM","Complete Genomics, Inc.","3.18","109052643.12","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/gnom",
"CCUR","Concurrent Computer Corporation","4.469","40772568.449","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CPSS","Consumer Portfolio Services, Inc.","2.68","52359599.52","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cpss",
"COSI","Cosi, Inc.","0.78","57034784.82","n/a","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cosi",
"BREW","Craft Brew Alliance, Inc.","7.96","150202063.76","n/a","1994","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/brew",
"CRED","Credo Petroleum Corporation","14.47","145295643.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cred",
"CRFN","Crescent Financial Bancshares, Inc.","5.13","145597392.54","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crfn",
"CXPO","Crimson Exploration Inc.","4.45","204992636.45","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxpo",
"ATX","Cross (A.T.) Company","9.8","129368477","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/atx",
"CRWN","Crown Media Holdings, Inc.","1.74","625836128.64","n/a","1983","Consumer Services","Television Services","http://www.nasdaq.com/symbol/crwn",
"CSPI","CSP Inc.","4.69","16080490.44","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CRIS","Curis, Inc.","4.33","344765814.7","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cris",
"CYBE","CyberOptics Corporation","6.43","44739136.25","n/a","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/cybe",
"CYBI","Cybex International, Inc.","1.42","24343131","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/cybi",
"CYCC","Cyclacel Pharmaceuticals, Inc.","3.45","29083279.2","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
"CYNO","Cynosure, Inc.","27.08","350837404.28","n/a","2005","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cyno",
